,Provider,Fraud_Probability,Top1_Feature,Top1_SHAP,Top2_Feature,Top2_SHAP,Top3_Feature,Top3_SHAP,Fraud_Probability_Percent,Top1_ActualValue,Top2_ActualValue,Top3_ActualValue
20,PRV53774,0.8149858,Provider_Insurance_Claim_Reimbursement_Amt,1.8727537,HospitalDuration_max,0.6873446,prv_avg_claims_indicator,-0.42828226,81.49858,589370.0,35.0,1.087378640776699
21,PRV57014,0.023126911,Provider_Insurance_Claim_Reimbursement_Amt,-2.0308404,DeductibleAmtPaid_sum,-0.662896,HospitalDuration_max,-0.33805105,2.3126912,17170.0,350.0,
22,PRV55004,0.9684563,Provider_Insurance_Claim_Reimbursement_Amt,2.0629046,prv_avg_claims_indicator,0.8622829,HospitalDuration_max,-0.63553494,96.845634,703610.0,2.4183467741935485,8.0
23,PRV53649,0.0019006216,Provider_Insurance_Claim_Reimbursement_Amt,-2.2723045,DeductibleAmtPaid_sum,-0.5086832,ChronicCond_Heartfailure_mean,-0.4649343,0.19006215,4770.0,190.0,0.3703703703703703
24,PRV53623,0.8199135,Provider_Insurance_Claim_Reimbursement_Amt,0.9715861,prv_avg_claims_indicator,0.9217546,perc_allocated_used,-0.5478004,81.99135,245450.0,2.2632911392405064,0.5327853060175969
25,PRV55000,0.9415607,Provider_Insurance_Claim_Reimbursement_Amt,2.3926125,HospitalDuration_max,0.64780277,prv_avg_claims_indicator,-0.4256742,94.15607,1166020.0,35.0,1.0806223479490806
26,PRV53958,0.567127,Provider_Insurance_Claim_Reimbursement_Amt,1.3894439,prv_avg_claims_indicator,0.7791033,HospitalDuration_max,-0.72289103,56.7127,475260.0,2.097058823529412,13.0
27,PRV56270,0.67796195,Provider_Insurance_Claim_Reimbursement_Amt,0.9026659,prv_avg_claims_indicator,0.6222995,DeductibleAmtPaid_sum,-0.4771038,67.796196,289970.0,2.1505154639175257,2610.0
28,PRV57429,0.049622495,Provider_Insurance_Claim_Reimbursement_Amt,-1.5577946,DeductibleAmtPaid_sum,-0.77305645,HospitalDuration_max,-0.34475368,4.9622493,41490.0,580.0,
29,PRV53692,0.9841488,Provider_Insurance_Claim_Reimbursement_Amt,2.3956223,HospitalDuration_max,0.600028,ClmAdmitDiagnosisCode_Count,0.22072938,98.41488,1397600.0,29.0,162.0
30,PRV52260,0.0025664603,Provider_Insurance_Claim_Reimbursement_Amt,-1.7983266,prv_avg_claims_indicator,-0.5649581,ChronicCond_Heartfailure_mean,-0.48840895,0.25664604,12880.0,1.0161290322580645,0.4444444444444444
31,PRV52147,0.86248904,Provider_Insurance_Claim_Reimbursement_Amt,1.2304982,prv_avg_claims_indicator,-0.6756047,HospitalDuration_max,0.6544312,86.2489,291500.0,1.0,21.0
32,PRV56268,0.9699943,Provider_Insurance_Claim_Reimbursement_Amt,2.2374778,HospitalDuration_max,0.5841381,HospitalDuration_sum,-0.30502835,96.99943,940670.0,35.0,423.0
33,PRV52520,0.016339116,Provider_Insurance_Claim_Reimbursement_Amt,-1.546779,DeductibleAmtPaid_sum,-0.75508237,ChronicCond_Heartfailure_mean,-0.6439558,1.6339116,39910.0,390.0,0.4710743801652892
34,PRV51293,0.007834644,Provider_Insurance_Claim_Reimbursement_Amt,-1.7999008,Avg_InscClaimAmtReimbursed_Per_Provider,-0.63896763,DeductibleAmtPaid_sum,-0.5892843,0.78346443,21200.0,4775.909090909091,20.0
35,PRV55834,0.5050403,Provider_Insurance_Claim_Reimbursement_Amt,0.84438235,prv_avg_claims_indicator,0.65866226,perc_allocated_used,-0.59319305,50.50403,197250.0,2.188405797101449,0.5433662216415119
36,PRV57315,0.0033485976,Provider_Insurance_Claim_Reimbursement_Amt,-2.2597525,prv_avg_claims_indicator,-0.63667184,DeductibleAmtPaid_sum,-0.61431575,0.33485976,5960.0,1.0,0.0
37,PRV51948,0.9832681,Provider_Insurance_Claim_Reimbursement_Amt,2.455825,HospitalDuration_max,0.6770536,ClaimDuration_max,0.2415398,98.326805,1519950.0,35.0,35.0
38,PRV51988,0.002902999,Provider_Insurance_Claim_Reimbursement_Amt,-1.8091266,DeductibleAmtPaid_sum,-0.7116941,perc_allocated_used,-0.42920712,0.2902999,12230.0,190.0,0.5033914269278665
39,PRV53074,0.01868123,Provider_Insurance_Claim_Reimbursement_Amt,-0.8508145,ChronicCond_Heartfailure_mean,-0.7455787,DeductibleAmtPaid_sum,-0.64720446,1.868123,48950.0,0.4662921348314606,420.0
40,PRV52986,0.25655413,HospitalDuration_max,-0.85395414,HospitalDuration_std,-0.550729,ClaimDuration_max,-0.25528002,25.655413,8.0,2.351122663277648,20.0
41,PRV51593,0.6012286,prv_avg_claims_indicator,-1.0615331,Provider_Insurance_Claim_Reimbursement_Amt,0.46506992,ClaimDuration_max,-0.3695957,60.12286,1.0,150000.0,20.0
42,PRV55049,0.9764913,Provider_Insurance_Claim_Reimbursement_Amt,2.263028,HospitalDuration_max,0.5884376,HospitalDuration_sum,-0.236926,97.649124,725150.0,29.0,396.0
43,PRV52518,0.028027693,prv_avg_claims_indicator,-0.6407029,Provider_Insurance_Claim_Reimbursement_Amt,-0.6263325,HospitalDuration_max,-0.45675343,2.8027692,1.02,72340.0,17.0
44,PRV55483,0.95874286,Provider_Insurance_Claim_Reimbursement_Amt,2.2364237,HospitalDuration_max,0.53627235,ChronicCond_ObstrPulmonary_mean,-0.2535625,95.87428,778040.0,35.0,0.5131578947368421
45,PRV55752,0.15699954,DeductibleAmtPaid_sum,-0.42992827,HospitalDuration_max,-0.3636413,ClaimDuration_max,-0.32869825,15.699954,1230.0,,20.0
46,PRV57345,0.95075035,Provider_Insurance_Claim_Reimbursement_Amt,1.3369912,HospitalDuration_max,0.7804778,prv_avg_claims_indicator,-0.33159596,95.075035,465320.0,35.0,1.0731707317073171
47,PRV51129,0.0093427915,Provider_Insurance_Claim_Reimbursement_Amt,-1.8078138,DeductibleAmtPaid_sum,-0.6022681,HospitalDuration_max,-0.34480375,0.93427914,22920.0,480.0,
48,PRV55521,0.4292801,prv_avg_claims_indicator,0.98809296,Provider_Insurance_Claim_Reimbursement_Amt,0.7611794,perc_allocated_used,-0.54526,42.92801,2.383720930232558,157650.0,0.3979327417710723
49,PRV52074,0.0607227,HospitalDuration_max,-1.0946493,prv_avg_claims_indicator,-0.9025612,ClaimDuration_max,-0.39891073,6.07227,14.0,1.0522388059701493,20.0
50,PRV54918,0.9691938,Provider_Insurance_Claim_Reimbursement_Amt,2.1856406,HospitalDuration_max,0.6093034,HospitalDuration_sum,-0.24032772,96.91938,874860.0,29.0,356.0
51,PRV52576,0.011504966,HospitalDuration_max,-1.0573132,Provider_Insurance_Claim_Reimbursement_Amt,-1.0020185,prv_avg_claims_indicator,-0.7722178,1.1504966,5.0,49850.0,1.0
52,PRV57530,0.6986896,Provider_Insurance_Claim_Reimbursement_Amt,1.161431,HospitalDuration_max,0.56105816,HospitalDuration_sum,-0.5583558,69.86896,505590.0,35.0,294.0
53,PRV53932,0.58486676,Provider_Insurance_Claim_Reimbursement_Amt,1.954904,prv_avg_claims_indicator,-0.5962597,HospitalDuration_sum,-0.2848396,58.486675,920140.0,1.0742049469964663,439.0
54,PRV54743,0.7773101,HospitalDuration_max,1.084869,HospitalDuration_std,0.7675897,Provider_Insurance_Claim_Reimbursement_Amt,-0.5765679,77.73101,34.0,11.810003830490086,87470.0
55,PRV56379,0.006809479,Provider_Insurance_Claim_Reimbursement_Amt,-1.6145946,DeductibleAmtPaid_sum,-0.69592774,ChronicCond_KidneyDisease_mean,-0.40044206,0.6809479,16520.0,60.0,0.3018867924528302
56,PRV57213,0.006195814,Provider_Insurance_Claim_Reimbursement_Amt,-1.3401793,DeductibleAmtPaid_sum,-0.689019,ChronicCond_Heartfailure_mean,-0.5986305,0.6195814,34040.0,250.0,0.4390243902439024
57,PRV53244,0.4416418,Provider_Insurance_Claim_Reimbursement_Amt,1.1824057,prv_avg_claims_indicator,1.0411775,HospitalDuration_max,-0.6350181,44.16418,465750.0,3.135802469135802,15.0
58,PRV53304,0.002413983,HospitalDuration_max,-0.9182124,prv_avg_claims_indicator,-0.878719,HospitalDuration_std,-0.67821753,0.2413983,7.0,1.0,0.7071067811865476
59,PRV53320,0.18636738,HospitalDuration_max,-1.0632186,Provider_Insurance_Claim_Reimbursement_Amt,-0.7098402,HospitalDuration_std,-0.653512,18.636738,2.0,81340.0,0.5773502691896258
60,PRV52312,0.033720206,Provider_Insurance_Claim_Reimbursement_Amt,-0.7954779,DeductibleAmtPaid_sum,-0.6864269,HospitalDuration_max,-0.3937785,3.3720207,79810.0,550.0,
61,PRV56011,0.989141,Provider_Insurance_Claim_Reimbursement_Amt,2.2326393,prv_avg_claims_indicator,0.82090425,prv_avg_claim_cost_indicator,0.29183075,98.9141,741640.0,2.433848797250859,638766.9611829944
62,PRV51428,0.007847479,Provider_Insurance_Claim_Reimbursement_Amt,-1.2720009,HospitalDuration_max,-1.0336071,prv_avg_claims_indicator,-1.0293286,0.78474784,48040.0,5.0,1.0
63,PRV51606,0.028333517,HospitalDuration_max,-0.89069736,prv_avg_claims_indicator,-0.8824568,Provider_Insurance_Claim_Reimbursement_Amt,-0.7991909,2.8333516,13.0,1.022222222222222,66100.0
64,PRV53679,0.17099313,Provider_Insurance_Claim_Reimbursement_Amt,0.856641,DeductibleAmtPaid_sum,-0.38319016,HospitalDuration_max,-0.3421932,17.099314,283020.0,2470.0,
65,PRV57672,0.55700064,HospitalDuration_max,-0.34117496,ClaimDuration_max,-0.32399556,DeductibleAmtPaid_sum,-0.26649955,55.700066,,20.0,1850.0
66,PRV57677,0.029476201,Provider_Insurance_Claim_Reimbursement_Amt,-0.6340105,prv_avg_claims_indicator,-0.6160623,DeductibleAmtPaid_sum,-0.54210347,2.9476202,73900.0,1.0970873786407769,620.0
67,PRV54092,0.06682458,HospitalDuration_max,-0.43846595,prv_avg_claims_indicator,-0.42485818,DeductibleAmtPaid_sum,-0.37376446,6.682458,,1.199501246882793,1760.0
68,PRV57528,0.5421571,Provider_Insurance_Claim_Reimbursement_Amt,0.8279978,HospitalDuration_max,-0.5924779,HospitalDuration_std,-0.34308788,54.21571,201020.0,13.0,3.404371247344154
69,PRV51873,0.8514827,Provider_Insurance_Claim_Reimbursement_Amt,1.2903,HospitalDuration_max,0.5954449,ChronicCond_Depression_mean,-0.30410877,85.14827,341480.0,28.0,0.3263888888888889
70,PRV54888,0.0733839,DeductibleAmtPaid_sum,-0.5601049,ChronicCond_stroke_mean,-0.38430217,HospitalDuration_max,-0.38018757,7.33839,710.0,0.0823244552058111,
71,PRV56560,0.9933137,Provider_Insurance_Claim_Reimbursement_Amt,2.399168,prv_avg_claims_indicator,0.60855734,HospitalDuration_max,0.49999022,99.331375,3212000.0,2.516866158868335,35.0
72,PRV56957,0.0376631,Provider_Insurance_Claim_Reimbursement_Amt,-1.4526088,DeductibleAmtPaid_sum,-0.61362743,HospitalDuration_max,-0.31784862,3.7663097,44400.0,590.0,
73,PRV56637,0.016620051,Provider_Insurance_Claim_Reimbursement_Amt,-1.6022869,DeductibleAmtPaid_sum,-0.67725235,Avg_InscClaimAmtReimbursed_Per_Provider,-0.48595855,1.6620051,40250.0,430.0,4843.04347826087
74,PRV56745,0.019219145,Provider_Insurance_Claim_Reimbursement_Amt,-1.7420204,DeductibleAmtPaid_sum,-0.65766,Avg_InscClaimAmtReimbursed_Per_Provider,-0.36245954,1.9219146,27460.0,530.0,4996.666666666667
75,PRV54748,0.013732203,Provider_Insurance_Claim_Reimbursement_Amt,-1.5159307,DeductibleAmtPaid_sum,-0.6221329,prv_avg_claims_indicator,-0.5571042,1.3732203,32110.0,290.0,1.0240963855421688
76,PRV51466,0.033815444,Provider_Insurance_Claim_Reimbursement_Amt,-1.0265962,HospitalDuration_max,-0.8408439,prv_avg_claims_indicator,-0.7589598,3.3815444,57860.0,15.0,1.0422535211267605
77,PRV52313,0.5867382,prv_avg_claims_indicator,0.72841346,Provider_Insurance_Claim_Reimbursement_Amt,0.5322081,DeductibleAmtPaid_sum,-0.39375845,58.673824,2.571428571428572,146700.0,1480.0
78,PRV56901,0.013974568,Provider_Insurance_Claim_Reimbursement_Amt,-2.0135968,DeductibleAmtPaid_sum,-0.5664981,Avg_InscClaimAmtReimbursed_Per_Provider,-0.5440383,1.3974568,10190.0,20.0,3103.4848484848485
79,PRV55977,0.89180344,Provider_Insurance_Claim_Reimbursement_Amt,1.5280983,ChronicCond_stroke_sum,0.39298105,Avg_InscClaimAmtReimbursed_Per_Provider,-0.24808726,89.18034,371100.0,132.0,3979.1858678955455
80,PRV54765,0.9884843,Provider_Insurance_Claim_Reimbursement_Amt,2.4599466,HospitalDuration_max,0.5634057,Avg_InscClaimAmtReimbursed_Per_Provider,0.24360761,98.848434,2000500.0,35.0,15586.150627615065
81,PRV52072,0.70578206,Provider_Insurance_Claim_Reimbursement_Amt,1.2510406,HospitalDuration_max,0.5969937,prv_avg_claims_indicator,-0.41526288,70.57821,421030.0,21.0,1.064516129032258
82,PRV51346,0.02874017,HospitalDuration_max,-1.0161738,prv_avg_claims_indicator,-0.86539817,ClaimDuration_max,-0.401358,2.874017,12.0,1.08130081300813,20.0
83,PRV51164,0.85933304,Provider_Insurance_Claim_Reimbursement_Amt,1.6492714,HospitalDuration_max,0.55934936,HospitalDuration_sum,-0.31246948,85.933304,556980.0,30.0,258.0
84,PRV56803,0.6563535,Provider_Insurance_Claim_Reimbursement_Amt,0.6631972,HospitalDuration_max,0.4587091,prv_avg_claims_indicator,0.34195045,65.635345,319420.0,22.0,1.9110576923076923
85,PRV51004,0.014479132,Provider_Insurance_Claim_Reimbursement_Amt,-1.0324012,DeductibleAmtPaid_sum,-0.61058885,prv_avg_claims_indicator,-0.4736075,1.4479133,52170.0,310.0,1.079710144927536
86,PRV52089,0.8196287,Provider_Insurance_Claim_Reimbursement_Amt,1.0518802,HospitalDuration_mean,0.46858963,HospitalDuration_max,-0.4008738,81.962875,221580.0,3.933333333333333,17.0
87,PRV55981,0.043024078,prv_avg_claims_indicator,-1.3365091,HospitalDuration_max,-1.1092613,HospitalDuration_std,-0.64107734,4.3024077,1.0,6.0,1.641718031587061
88,PRV51857,0.94805557,Provider_Insurance_Claim_Reimbursement_Amt,1.5078284,HospitalDuration_max,0.54450846,Avg_InscClaimAmtReimbursed_Per_Provider,0.22739887,94.80556,383490.0,35.0,17102.456140350878
89,PRV51386,0.07025573,HospitalDuration_max,-0.45123148,DeductibleAmtPaid_sum,-0.44765458,Provider_Insurance_Claim_Reimbursement_Amt,-0.36471093,7.025573,,1330.0,99320.0
90,PRV51868,0.9807931,Provider_Insurance_Claim_Reimbursement_Amt,2.2022173,HospitalDuration_max,0.60661614,ClaimDuration_max,0.22037134,98.079315,1099710.0,35.0,35.0
91,PRV55278,0.008073004,Provider_Insurance_Claim_Reimbursement_Amt,-2.2453108,Avg_InscClaimAmtReimbursed_Per_Provider,-0.6062554,DeductibleAmtPaid_sum,-0.5578673,0.8073004,7200.0,2585.1111111111118,0.0
92,PRV56235,0.69714135,Provider_Insurance_Claim_Reimbursement_Amt,0.74979454,HospitalDuration_max,0.7076429,HospitalDuration_std,0.37053308,69.714134,178900.0,26.0,7.791584640417583
93,PRV52859,0.5029031,Provider_Insurance_Claim_Reimbursement_Amt,0.9379645,DeductibleAmtPaid_sum,-0.75982076,prv_avg_claims_indicator,0.5870436,50.29031,287930.0,1940.0,2.0657596371882088
94,PRV53940,0.013570949,Provider_Insurance_Claim_Reimbursement_Amt,-1.7192254,DeductibleAmtPaid_sum,-0.68736386,prv_avg_claims_indicator,-0.48520207,1.357095,21890.0,330.0,1.043010752688172
95,PRV52893,0.08236112,HospitalDuration_max,-0.47328284,DeductibleAmtPaid_sum,-0.44880235,ClaimDuration_max,-0.30544105,8.236112,,1390.0,20.0
96,PRV56362,0.028170481,Provider_Insurance_Claim_Reimbursement_Amt,-1.8709217,DeductibleAmtPaid_sum,-0.7001877,HospitalDuration_max,-0.3052354,2.817048,13210.0,290.0,
97,PRV52623,0.59329563,Provider_Insurance_Claim_Reimbursement_Amt,0.5944326,HospitalDuration_max,0.5698317,ChronicCond_Depression_mean,-0.4391711,59.329563,202290.0,35.0,0.2808510638297872
98,PRV52568,0.031955235,Provider_Insurance_Claim_Reimbursement_Amt,-1.7842182,DeductibleAmtPaid_sum,-0.6532011,Avg_InscClaimAmtReimbursed_Per_Provider,-0.39244226,3.1955235,25730.0,430.0,2558.2758620689656
99,PRV57434,0.059622798,Provider_Insurance_Claim_Reimbursement_Amt,-0.6942283,DeductibleAmtPaid_sum,-0.5836974,prv_avg_claims_indicator,0.5317699,5.96228,83990.0,650.0,2.0927152317880795
100,PRV57485,0.0015011858,Provider_Insurance_Claim_Reimbursement_Amt,-2.2172327,Avg_InscClaimAmtReimbursed_Per_Provider,-0.5825461,prv_avg_claims_indicator,-0.543293,0.15011859,1670.0,3127.0,1.0
101,PRV57179,0.8255572,Provider_Insurance_Claim_Reimbursement_Amt,1.1496664,HospitalDuration_max,0.5830759,DeductibleAmtPaid_sum,0.24691665,82.55572,337460.0,23.0,27090.0
102,PRV56808,0.9310901,Provider_Insurance_Claim_Reimbursement_Amt,1.4333701,HospitalDuration_max,0.77966183,prv_avg_claims_indicator,-0.6326509,93.10901,433610.0,24.0,1.0
103,PRV57710,0.014284693,DeductibleAmtPaid_sum,-0.58546925,perc_allocated_used,-0.5656716,HospitalDuration_max,-0.41885564,1.4284693,620.0,0.5598143472278476,
104,PRV53405,0.34627086,Provider_Insurance_Claim_Reimbursement_Amt,0.9078766,HospitalDuration_max,-0.27619323,ClaimDuration_max,-0.26180026,34.627087,239010.0,17.0,20.0
105,PRV53394,0.9777925,Provider_Insurance_Claim_Reimbursement_Amt,2.2774682,HospitalDuration_max,0.45303297,prv_avg_claims_indicator,0.44832012,97.77925,785420.0,32.0,3.301630434782609
106,PRV55993,0.0021661846,Provider_Insurance_Claim_Reimbursement_Amt,-2.4994082,DeductibleAmtPaid_sum,-0.5879881,Avg_InscClaimAmtReimbursed_Per_Provider,-0.45200017,0.21661846,5360.0,0.0,2560.625
107,PRV53918,0.9898525,Provider_Insurance_Claim_Reimbursement_Amt,2.3627877,prv_avg_claims_indicator,0.72857195,DeductibleAmtPaid_sum,0.3774966,98.98525,1014510.0,2.099473376243417,9100.0
108,PRV53874,0.053687103,perc_allocated_used,-0.6098768,HospitalDuration_max,-0.4961759,DeductibleAmtPaid_sum,-0.44644347,5.3687105,0.5353456723059289,,1710.0
109,PRV52309,0.03624778,Provider_Insurance_Claim_Reimbursement_Amt,-1.1950692,DeductibleAmtPaid_sum,-0.6798884,ChronicCond_stroke_mean,-0.40761897,3.6247778,45340.0,210.0,0.0823529411764705
110,PRV51086,0.26353732,Provider_Insurance_Claim_Reimbursement_Amt,1.2577971,HospitalDuration_max,-0.9654797,HospitalDuration_std,-0.42218944,26.353731,446170.0,11.0,3.0342135081274733
111,PRV53997,0.062296607,Provider_Insurance_Claim_Reimbursement_Amt,-1.0355228,DeductibleAmtPaid_sum,-0.6797746,HospitalDuration_max,-0.40139064,6.2296605,70230.0,310.0,
112,PRV54564,0.4375361,prv_avg_claims_indicator,0.842708,ChronicCond_Heartfailure_mean,-0.76101464,Provider_Insurance_Claim_Reimbursement_Amt,0.75899047,43.75361,2.433333333333333,0.4757160647571606,229780.0
113,PRV54577,0.28411832,Provider_Insurance_Claim_Reimbursement_Amt,1.3297882,HospitalDuration_max,-1.1591018,prv_avg_claims_indicator,-0.49368024,28.411833,494010.0,16.0,1.0892857142857142
114,PRV55462,0.9939267,Provider_Insurance_Claim_Reimbursement_Amt,2.362361,HospitalDuration_max,0.53671134,prv_avg_claims_indicator,0.4082712,99.39267,4713830.0,35.0,1.9680082559339525
115,PRV55459,0.042198293,DeductibleAmtPaid_sum,-0.5926398,HospitalDuration_max,-0.45908043,ClaimDuration_max,-0.33464938,4.219829,930.0,,20.0
116,PRV51301,0.473081,HospitalDuration_max,0.7563638,ChronicCond_Heartfailure_mean,-0.6389987,perc_allocated_used,-0.5012307,47.308098,28.0,0.5,0.9836965076795072
117,PRV52628,0.9581674,Provider_Insurance_Claim_Reimbursement_Amt,2.2250082,DeductibleAmtPaid_sum,0.3492577,ChronicCond_stroke_sum,0.27874726,95.816734,604120.0,5780.0,223.0
118,PRV52599,0.10387382,Provider_Insurance_Claim_Reimbursement_Amt,-0.7566006,DeductibleAmtPaid_sum,-0.6049193,HospitalDuration_max,-0.36431378,10.387382,87890.0,950.0,
119,PRV52933,0.9063833,HospitalDuration_max,1.0491248,HospitalDuration_std,0.6028718,Provider_Insurance_Claim_Reimbursement_Amt,-0.56216526,90.63833,21.0,9.41629792788369,69390.0
120,PRV52821,0.9901625,Provider_Insurance_Claim_Reimbursement_Amt,2.3676362,HospitalDuration_max,0.641903,ClmAdmitDiagnosisCode_Count,0.2970738,99.01625,1822970.0,35.0,275.0
121,PRV52836,0.032638624,HospitalDuration_max,-0.9375128,Provider_Insurance_Claim_Reimbursement_Amt,-0.77691394,prv_avg_claims_indicator,-0.6925419,3.2638624,12.0,53680.0,1.05
122,PRV54101,0.07526631,HospitalDuration_max,-0.79001856,Provider_Insurance_Claim_Reimbursement_Amt,-0.7644617,prv_avg_claims_indicator,-0.6990505,7.526631,11.0,65790.0,1.0357142857142858
123,PRV54960,0.040520594,Provider_Insurance_Claim_Reimbursement_Amt,-0.98604083,prv_avg_claims_indicator,-0.5999827,DeductibleAmtPaid_sum,-0.57554305,4.052059,51400.0,1.032085561497326,60.0
124,PRV54267,0.13841625,prv_avg_claims_indicator,0.7784915,DeductibleAmtPaid_sum,-0.6828693,Provider_Insurance_Claim_Reimbursement_Amt,-0.44526786,13.841624,2.6904761904761907,550.0,78960.0
125,PRV53396,0.60649705,Provider_Insurance_Claim_Reimbursement_Amt,0.99562675,HospitalDuration_sum,-0.6571959,HospitalDuration_max,0.56477654,60.649704,452600.0,261.0,30.0
126,PRV57033,0.80259657,Provider_Insurance_Claim_Reimbursement_Amt,0.8960839,HospitalDuration_max,0.77657306,HospitalDuration_std,0.3561787,80.25966,217330.0,35.0,9.42423346859511
127,PRV52120,0.9898317,Provider_Insurance_Claim_Reimbursement_Amt,2.4321604,HospitalDuration_max,0.5968729,ClmAdmitDiagnosisCode_Count,0.25555745,98.98317,1950720.0,35.0,398.0
128,PRV56104,0.87199223,prv_avg_claims_indicator,0.9219265,ClaimDuration_mean,0.62390506,DeductibleAmtPaid_sum,-0.4546146,87.19923,2.081896551724138,1.0331262939958592,1190.0
129,PRV52123,0.9859958,Provider_Insurance_Claim_Reimbursement_Amt,2.1802137,HospitalDuration_max,0.5967308,ClmAdmitDiagnosisCode_Count,0.25676015,98.59959,1447140.0,35.0,183.0
130,PRV52092,0.07840252,HospitalDuration_max,-1.0084133,prv_avg_claims_indicator,-0.6019979,ClaimDuration_max,-0.3824805,7.840252,13.0,1.1041666666666667,20.0
131,PRV55051,0.2219092,Provider_Insurance_Claim_Reimbursement_Amt,-1.0649369,prv_avg_claims_indicator,-0.9089661,HospitalDuration_max,0.79371035,22.19092,60000.0,1.0,26.0
132,PRV52896,0.5681496,Provider_Insurance_Claim_Reimbursement_Amt,1.2390703,ChronicCond_Heartfailure_mean,-0.26743305,ClaimDuration_max,-0.25565752,56.814964,300920.0,0.5422535211267606,20.0
